TaskNumber;N;FuncNumber;eps;r;dist;radius;num_minima;min;IsSolveAGP;timeAGP;IterAGP;
100; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.036000; 20770; 
10; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.054000; 4465; 
11; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.014000; 42; 
12; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 7.772000; 50521; 
13; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 12.453000; 66741; 
14; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 14.479000; 69921; 
15; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 3.881000; 36199; 
16; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.190000; 9030; 
17; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.127000; 7517; 
18; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.014000; 20660; 
19; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 14.244000; 64852; 
1; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 85.124000; 176094; 
20; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.048000; 3773; 
21; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.539000; 15008; 
22; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 63.340000; 147357; 
23; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.568000; 15909; 
24; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.890000; 27381; 
25; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.660000; 16876; 
26; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.106000; 4267; 
27; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 32.702000; 107231; 
28; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.014000; 229; 
29; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.064000; 4994; 
2; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 4.237000; 40993; 
30; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.045000; 4007; 
31; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 10.289000; 57030; 
32; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.013000; 20378; 
33; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.047000; 4129; 
34; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.040000; 3392; 
35; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.479000; 12425; 
36; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.617000; 17998; 
37; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.352000; 10165; 
38; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.023000; 1995; 
39; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.074000; 5284; 
3; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.064000; 5065; 
40; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.016000; 519; 
41; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.074000; 5331; 
42; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.055000; 4197; 
43; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.024000; 2216; 
44; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 194.116000; 249680; 
45; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.341000; 11751; 
46; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.518000; 15385; 
47; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 36.664000; 107449; 
48; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.187000; 21050; 
49; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.233000; 10343; 
4; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.037000; 3252; 
50; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.791000; 17971; 
51; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 7.827000; 43352; 
52; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 11.254000; 61782; 
53; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.774000; 17920; 
54; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.040000; 3718; 
55; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.118000; 7245; 
56; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 7.883000; 49127; 
57; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 10.832000; 59367; 
58; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.026000; 1761; 
59; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.201000; 9382; 
5; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.026000; 2211; 
60; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 2.321000; 29314; 
61; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 15.262000; 72253; 
62; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 12.540000; 61071; 
63; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.049000; 4068; 
64; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.024000; 2125; 
65; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 9.202000; 53600; 
66; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.024000; 2198; 
67; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.591000; 24509; 
68; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 11.116000; 64581; 
69; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.164000; 9115; 
6; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.321000; 11596; 
70; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.132000; 7266; 
71; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 5.130000; 38794; 
72; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 32.657000; 103637; 
73; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 2.762000; 32794; 
74; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 2.874000; 27499; 
75; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.150000; 7758; 
76; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.208000; 9446; 
77; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.113000; 7126; 
78; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.426000; 13010; 
79; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.089000; 5765; 
7; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.014000; 52; 
80; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.496000; 14488; 
81; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 760.929000; 543441; 
82; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.052000; 4628; 
83; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.023000; 2277; 
84; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.064000; 5126; 
85; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 5.783000; 41067; 
86; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 15.344000; 68879; 
87; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.023000; 2000; 
88; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.378000; 12750; 
89; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 1.432000; 23642; 
8; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 5.393000; 39259; 
90; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.040000; 3577; 
91; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 0.226000; 9850; 
92; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 5.832000; 41520; 
93; 5; 1; 0.030000; 4.500000; 0.660000; 0.300000; 10; -1.000000; 1; 3.164000; 32243; 
