TaskNumber;N;FuncNumber;eps;r;min;IsSolvePerebor;timePerebor;IterPerebor;IsSolveAGP;timeAGP;IterAGP;
1;2;1; 0.001000; 3.600000; -13.514478;1; 11.981410;5000;1; 0.791000;632; 
2;2;1; 0.001000; 3.600000; -11.284520;1; 11.945379;5000;1; 1.398000;840; 
3;2;1; 0.001000; 3.600000; -13.209686;1; 11.990230;5000;1; 0.168000;292; 
4;2;1; 0.001000; 3.600000; -11.541191;1; 13.606762;5000;1; 1.054000;586; 
5;2;1; 0.001000; 3.600000; -9.969291;1; 12.143494;5000;1; 1.113000;748; 
6;2;1; 0.001000; 3.600000; -9.180170;1; 14.190440;5000;1; 2.021000;1010; 
7;2;1; 0.001000; 3.600000; -9.359563;1; 12.141035;5000;1; 0.985000;700; 
8;2;1; 0.001000; 3.600000; -11.470027;1; 12.610614;5000;1; 0.546000;525; 
9;2;1; 0.001000; 3.600000; -11.414708;1; 12.129821;5000;1; 1.548000;856; 
10;2;1; 0.001000; 3.600000; -12.357895;1; 12.731038;5000;1; 0.215000;328; 
11;2;1; 0.001000; 3.600000; -8.298192;1; 12.022940;5000;1; 4.335000;1480; 
12;2;1; 0.001000; 3.600000; -10.778930;1; 12.744113;5000;1; 0.677000;553; 
13;2;1; 0.001000; 3.600000; -9.639990;1; 12.623209;5000;1; 2.121000;1018; 
14;2;1; 0.001000; 3.600000; -10.846911;1; 13.264490;5000;1; 0.079000;200; 
15;2;1; 0.001000; 3.600000; -9.998779;1; 11.963999;5000;1; 0.209000;324; 
16;2;1; 0.001000; 3.600000; -13.277557;1; 12.054361;5000;1; 0.083000;204; 
17;2;1; 0.001000; 3.600000; -11.205791;1; 13.966065;5000;1; 4.448000;1498; 
18;2;1; 0.001000; 3.600000; -8.555742;1; 12.691264;5000;1; 1.172000;761; 
19;2;1; 0.001000; 3.600000; -11.080536;1; 14.062740;5000;1; 4.232000;1466; 
20;2;1; 0.001000; 3.600000; -10.841575;1; 12.867413;5000;1; 1.828000;955; 
21;2;1; 0.001000; 3.600000; -10.099151;1; 13.363099;5000;1; 0.807000;636; 
22;2;1; 0.001000; 3.600000; -8.821706;1; 14.457826;5000;1; 5.718000;1701; 
23;2;1; 0.001000; 3.600000; -11.204370;1; 11.987882;5000;1; 5.881000;1725; 
24;2;1; 0.001000; 3.600000; -9.776697;1; 12.688270;5000;1; 4.762000;1454; 
25;2;1; 0.001000; 3.600000; -9.446354;1; 12.749203;5000;1; 0.387000;441; 
26;2;1; 0.001000; 3.600000; -9.922246;1; 12.720678;5000;1; 4.557000;1519; 
27;2;1; 0.001000; 3.600000; -9.353058;1; 12.935778;5000;1; 2.417000;1107; 
28;2;1; 0.001000; 3.600000; -8.927869;1; 12.763980;5000;1; 8.033000;2014; 
29;2;1; 0.001000; 3.600000; -11.970417;1; 12.731151;5000;1; 0.304000;392; 
30;2;1; 0.001000; 3.600000; -11.059303;1; 12.582769;5000;1; 0.760000;620; 
31;2;1; 0.001000; 3.600000; -8.960712;1; 12.656645;5000;1; 0.152000;277; 
32;2;1; 0.001000; 3.600000; -10.253835;1; 13.373659;5000;1; 6.188000;1686; 
